"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","09.07.2021 02:00 - 09.07.2021 03:00 (CET)","3","n/e","n/e","15","47","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","29","30","53"
"BZN|DK2","09.07.2021 03:00 - 09.07.2021 04:00 (CET)","3","n/e","n/e","15","46","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","29","25","53"
"BZN|DK2","09.07.2021 04:00 - 09.07.2021 05:00 (CET)","3","n/e","n/e","18","51","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","29","31","26"
"BZN|DK2","09.07.2021 05:00 - 09.07.2021 06:00 (CET)","3","n/e","n/e","19","53","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","30","35","18"
"BZN|DK2","09.07.2021 06:00 - 09.07.2021 07:00 (CET)","3","n/e","n/e","18","50","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","25","29","35","22"
"BZN|DK2","09.07.2021 07:00 - 09.07.2021 08:00 (CET)","5","n/e","n/e","18","51","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","29","31","24"
"BZN|DK2","09.07.2021 08:00 - 09.07.2021 09:00 (CET)","7","n/e","n/e","20","54","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","135","30","42","15"
"BZN|DK2","09.07.2021 09:00 - 09.07.2021 10:00 (CET)","8","n/e","n/e","28","67","9","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","180","30","75","24"
"BZN|DK2","09.07.2021 10:00 - 09.07.2021 11:00 (CET)","8","n/e","n/e","38","83","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","208","31","99","37"
"BZN|DK2","09.07.2021 11:00 - 09.07.2021 12:00 (CET)","9","n/e","n/e","41","87","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","227","31","104","51"
"BZN|DK2","09.07.2021 12:00 - 09.07.2021 13:00 (CET)","6","n/e","n/e","23","60","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","203","29","50","39"
"BZN|DK2","09.07.2021 13:00 - 09.07.2021 14:00 (CET)","3","n/e","n/e","24","61","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","145","29","67","51"
"BZN|DK2","09.07.2021 14:00 - 09.07.2021 15:00 (CET)","4","n/e","n/e","28","67","9","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","158","30","94","59"
"BZN|DK2","09.07.2021 15:00 - 09.07.2021 16:00 (CET)","5","n/e","n/e","43","91","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","121","32","130","52"
"BZN|DK2","09.07.2021 16:00 - 09.07.2021 17:00 (CET)","5","n/e","n/e","49","101","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","69","33","138","68"
"BZN|DK2","09.07.2021 17:00 - 09.07.2021 18:00 (CET)","6","n/e","n/e","70","136","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","61","35","226","103"
"BZN|DK2","09.07.2021 18:00 - 09.07.2021 19:00 (CET)","8","n/e","n/e","102","187","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","39","359","108"
"BZN|DK2","09.07.2021 19:00 - 09.07.2021 20:00 (CET)","9","n/e","n/e","115","208","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","41","402","106"
"BZN|DK2","09.07.2021 20:00 - 09.07.2021 21:00 (CET)","12","n/e","n/e","160","281","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","47","508","98"
"BZN|DK2","09.07.2021 21:00 - 09.07.2021 22:00 (CET)","13","n/e","n/e","183","318","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","669","137"
"BZN|DK2","09.07.2021 22:00 - 09.07.2021 23:00 (CET)","14","n/e","n/e","192","332","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","807","187"
"BZN|DK2","09.07.2021 23:00 - 10.07.2021 00:00 (CET)","14","n/e","n/e","193","326","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","799","239"
"BZN|DK2","10.07.2021 00:00 - 10.07.2021 01:00 (CET)","14","n/e","n/e","194","315","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","735","249"
"BZN|DK2","10.07.2021 01:00 - 10.07.2021 02:00 (CET)","14","n/e","n/e","190","309","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","634","199"
"BZN|DK2","10.07.2021 02:00 - 10.07.2021 03:00 (CET)","13","n/e","n/e","180","293","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","606","198"
"BZN|DK2","10.07.2021 03:00 - 10.07.2021 04:00 (CET)","14","n/e","n/e","189","307","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","646","222"
"BZN|DK2","10.07.2021 04:00 - 10.07.2021 05:00 (CET)","14","n/e","n/e","188","305","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","757","280"
"BZN|DK2","10.07.2021 05:00 - 10.07.2021 06:00 (CET)","14","n/e","n/e","188","306","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","50","730","309"
"BZN|DK2","10.07.2021 06:00 - 10.07.2021 07:00 (CET)","14","n/e","n/e","189","308","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","51","815","274"
"BZN|DK2","10.07.2021 07:00 - 10.07.2021 08:00 (CET)","13","n/e","n/e","177","287","56","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","49","770","249"
"BZN|DK2","10.07.2021 08:00 - 10.07.2021 09:00 (CET)","16","n/e","n/e","188","305","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","50","819","233"
"BZN|DK2","10.07.2021 09:00 - 10.07.2021 10:00 (CET)","18","n/e","n/e","193","314","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","55","51","808","242"
"BZN|DK2","10.07.2021 10:00 - 10.07.2021 11:00 (CET)","18","n/e","n/e","194","315","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","79","51","788","281"
"BZN|DK2","10.07.2021 11:00 - 10.07.2021 12:00 (CET)","18","n/e","n/e","188","306","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","94","51","843","320"
"BZN|DK2","10.07.2021 12:00 - 10.07.2021 13:00 (CET)","15","n/e","n/e","169","274","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","89","48","835","361"
"BZN|DK2","10.07.2021 13:00 - 10.07.2021 14:00 (CET)","13","n/e","n/e","177","288","56","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","49","851","360"
"BZN|DK2","10.07.2021 14:00 - 10.07.2021 15:00 (CET)","13","n/e","n/e","181","294","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","88","50","829","353"
"BZN|DK2","10.07.2021 15:00 - 10.07.2021 16:00 (CET)","13","n/e","n/e","180","292","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","107","50","748","339"
"BZN|DK2","10.07.2021 16:00 - 10.07.2021 17:00 (CET)","13","n/e","n/e","177","288","56","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","140","50","686","301"
"BZN|DK2","10.07.2021 17:00 - 10.07.2021 18:00 (CET)","11","n/e","n/e","149","242","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","181","46","548","277"
"BZN|DK2","10.07.2021 18:00 - 10.07.2021 19:00 (CET)","9","n/e","n/e","110","179","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","116","41","384","230"
"BZN|DK2","10.07.2021 19:00 - 10.07.2021 20:00 (CET)","7","n/e","n/e","85","138","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","57","38","278","163"
"BZN|DK2","10.07.2021 20:00 - 10.07.2021 21:00 (CET)","6","n/e","n/e","70","114","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","36","221","132"
"BZN|DK2","10.07.2021 21:00 - 10.07.2021 22:00 (CET)","5","n/e","n/e","53","87","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","34","152","90"
"BZN|DK2","10.07.2021 22:00 - 10.07.2021 23:00 (CET)","5","n/e","n/e","45","73","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","32","104","70"
"BZN|DK2","10.07.2021 23:00 - 11.07.2021 00:00 (CET)","4","n/e","n/e","40","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","32","76","58"
"BZN|DK2","11.07.2021 00:00 - 11.07.2021 01:00 (CET)","3","n/e","n/e","25","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","30","48","50"
"BZN|DK2","11.07.2021 01:00 - 11.07.2021 02:00 (CET)","3","n/e","n/e","19","32","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","29","32","37"
"BZN|DK2","11.07.2021 02:00 - 11.07.2021 03:00 (CET)","3","n/e","n/e","18","29","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","30","27","26"
"BZN|DK2","11.07.2021 03:00 - 11.07.2021 04:00 (CET)","3","n/e","n/e","11","17","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","28","4","26"
"BZN|DK2","11.07.2021 04:00 - 11.07.2021 05:00 (CET)","2","n/e","n/e","10","16","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","28","0","24"
"BZN|DK2","11.07.2021 05:00 - 11.07.2021 06:00 (CET)","2","n/e","n/e","11","18","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","28","0","24"
"BZN|DK2","11.07.2021 06:00 - 11.07.2021 07:00 (CET)","3","n/e","n/e","10","16","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","28","0","22"
"BZN|DK2","11.07.2021 07:00 - 11.07.2021 08:00 (CET)","3","n/e","n/e","10","16","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","73","28","2","20"
"BZN|DK2","11.07.2021 08:00 - 11.07.2021 09:00 (CET)","4","n/e","n/e","10","16","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","137","29","3","20"
"BZN|DK2","11.07.2021 09:00 - 11.07.2021 10:00 (CET)","7","n/e","n/e","10","16","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","193","28","8","19"
"BZN|DK2","11.07.2021 10:00 - 11.07.2021 11:00 (CET)","7","n/e","n/e","10","17","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","260","29","17","21"
"BZN|DK2","11.07.2021 11:00 - 11.07.2021 12:00 (CET)","7","n/e","n/e","12","19","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","290","41","32","25"
"BZN|DK2","11.07.2021 12:00 - 11.07.2021 13:00 (CET)","5","n/e","n/e","14","23","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","302","45","59","32"
"BZN|DK2","11.07.2021 13:00 - 11.07.2021 14:00 (CET)","3","n/e","n/e","17","28","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","303","46","94","38"
"BZN|DK2","11.07.2021 14:00 - 11.07.2021 15:00 (CET)","3","n/e","n/e","16","26","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","301","45","106","44"
"BZN|DK2","11.07.2021 15:00 - 11.07.2021 16:00 (CET)","3","n/e","n/e","19","31","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","283","46","128","51"
"BZN|DK2","11.07.2021 16:00 - 11.07.2021 17:00 (CET)","3","n/e","n/e","23","37","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","242","46","155","61"
"BZN|DK2","11.07.2021 17:00 - 11.07.2021 18:00 (CET)","4","n/e","n/e","27","43","9","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","181","45","175","59"
"BZN|DK2","11.07.2021 18:00 - 11.07.2021 19:00 (CET)","4","n/e","n/e","34","55","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","117","43","223","57"
"BZN|DK2","11.07.2021 19:00 - 11.07.2021 20:00 (CET)","4","n/e","n/e","37","61","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","65","43","236","50"
"BZN|DK2","11.07.2021 20:00 - 11.07.2021 21:00 (CET)","4","n/e","n/e","36","58","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","42","216","54"
"BZN|DK2","11.07.2021 21:00 - 11.07.2021 22:00 (CET)","4","n/e","n/e","37","60","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","42","193","72"
"BZN|DK2","11.07.2021 22:00 - 11.07.2021 23:00 (CET)","5","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","180","86"
"BZN|DK2","11.07.2021 23:00 - 12.07.2021 00:00 (CET)","5","n/e","n/e","49","79","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","182","107"
"BZN|DK2","12.07.2021 00:00 - 12.07.2021 01:00 (CET)","5","n/e","n/e","48","78","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","176","108"
"BZN|DK2","12.07.2021 01:00 - 12.07.2021 02:00 (CET)","5","n/e","n/e","48","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","177","112"
"BZN|DK2","12.07.2021 02:00 - 12.07.2021 03:00 (CET)","5","n/e","n/e","47","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","167","112"
"BZN|DK2","12.07.2021 03:00 - 12.07.2021 04:00 (CET)","6","n/e","n/e","64","104","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","230","113"
"BZN|DK2","12.07.2021 04:00 - 12.07.2021 05:00 (CET)","7","n/e","n/e","76","123","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","52","281","128"
"BZN|DK2","12.07.2021 05:00 - 12.07.2021 06:00 (CET)","7","n/e","n/e","80","131","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","53","289","143"
"BZN|DK2","12.07.2021 06:00 - 12.07.2021 07:00 (CET)","7","n/e","n/e","81","131","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","23","53","296","136"
"BZN|DK2","12.07.2021 07:00 - 12.07.2021 08:00 (CET)","8","n/e","n/e","91","148","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","54","362","117"
"BZN|DK2","12.07.2021 08:00 - 12.07.2021 09:00 (CET)","8","n/e","n/e","103","167","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","147","58","369","121"
"BZN|DK2","12.07.2021 09:00 - 12.07.2021 10:00 (CET)","11","n/e","n/e","113","183","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","223","58","376","144"
"BZN|DK2","12.07.2021 10:00 - 12.07.2021 11:00 (CET)","13","n/e","n/e","117","190","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","285","58","420","188"
"BZN|DK2","12.07.2021 11:00 - 12.07.2021 12:00 (CET)","12","n/e","n/e","102","166","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","327","54","416","217"
"BZN|DK2","12.07.2021 12:00 - 12.07.2021 13:00 (CET)","15","n/e","n/e","110","179","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","343","54","492","264"
"BZN|DK2","12.07.2021 13:00 - 12.07.2021 14:00 (CET)","15","n/e","n/e","98","159","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","341","53","498","292"
"BZN|DK2","12.07.2021 14:00 - 12.07.2021 15:00 (CET)","16","n/e","n/e","124","202","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","328","57","583","271"
"BZN|DK2","12.07.2021 15:00 - 12.07.2021 16:00 (CET)","13","n/e","n/e","131","212","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","273","57","630","263"
"BZN|DK2","12.07.2021 16:00 - 12.07.2021 17:00 (CET)","14","n/e","n/e","158","256","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","232","60","773","288"
"BZN|DK2","12.07.2021 17:00 - 12.07.2021 18:00 (CET)","15","n/e","n/e","153","249","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","172","59","767","272"
"BZN|DK2","12.07.2021 18:00 - 12.07.2021 19:00 (CET)","16","n/e","n/e","175","285","55","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","103","62","836","251"
"BZN|DK2","12.07.2021 19:00 - 12.07.2021 20:00 (CET)","16","n/e","n/e","192","297","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","62","853","252"
"BZN|DK2","12.07.2021 20:00 - 12.07.2021 21:00 (CET)","16","n/e","n/e","201","295","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","61","814","217"
"BZN|DK2","12.07.2021 21:00 - 12.07.2021 22:00 (CET)","17","n/e","n/e","209","316","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","63","836","194"
"BZN|DK2","12.07.2021 22:00 - 12.07.2021 23:00 (CET)","16","n/e","n/e","165","268","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","61","704","177"
"BZN|DK2","12.07.2021 23:00 - 13.07.2021 00:00 (CET)","14","n/e","n/e","148","241","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","630","171"
"BZN|DK2","13.07.2021 00:00 - 13.07.2021 01:00 (CET)","16","n/e","n/e","187","275","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","62","642","154"
"BZN|DK2","13.07.2021 01:00 - 13.07.2021 02:00 (CET)","13","n/e","n/e","132","214","42","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","480","134"
"BZN|DK2","13.07.2021 02:00 - 13.07.2021 03:00 (CET)","13","n/e","n/e","120","195","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","53","411","122"
"BZN|DK2","13.07.2021 03:00 - 13.07.2021 04:00 (CET)","11","n/e","n/e","95","155","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","318","114"
"BZN|DK2","13.07.2021 04:00 - 13.07.2021 05:00 (CET)","9","n/e","n/e","73","118","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","282","131"
"BZN|DK2","13.07.2021 05:00 - 13.07.2021 06:00 (CET)","10","n/e","n/e","80","130","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","47","296","111"
"BZN|DK2","13.07.2021 06:00 - 13.07.2021 07:00 (CET)","9","n/e","n/e","67","109","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","45","228","83"
"BZN|DK2","13.07.2021 07:00 - 13.07.2021 08:00 (CET)","10","n/e","n/e","56","92","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","61","44","192","76"
"BZN|DK2","13.07.2021 08:00 - 13.07.2021 09:00 (CET)","12","n/e","n/e","47","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","116","40","139","62"
"BZN|DK2","13.07.2021 09:00 - 13.07.2021 10:00 (CET)","12","n/e","n/e","53","86","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","190","43","158","59"
"BZN|DK2","13.07.2021 10:00 - 13.07.2021 11:00 (CET)","10","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","237","43","129","59"
"BZN|DK2","13.07.2021 11:00 - 13.07.2021 12:00 (CET)","11","n/e","n/e","45","73","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","248","42","131","62"
"BZN|DK2","13.07.2021 12:00 - 13.07.2021 13:00 (CET)","12","n/e","n/e","43","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","236","42","126","74"
"BZN|DK2","13.07.2021 13:00 - 13.07.2021 14:00 (CET)","12","n/e","n/e","59","98","19","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","44","178","99"
"BZN|DK2","13.07.2021 14:00 - 13.07.2021 15:00 (CET)","10","n/e","n/e","77","135","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","46","235","92"
"BZN|DK2","13.07.2021 15:00 - 13.07.2021 16:00 (CET)","9","n/e","n/e","78","127","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","250","46","278","97"
"BZN|DK2","13.07.2021 16:00 - 13.07.2021 17:00 (CET)","8","n/e","n/e","92","150","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","225","47","329","98"
"BZN|DK2","13.07.2021 17:00 - 13.07.2021 18:00 (CET)","8","n/e","n/e","81","131","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","167","46","308","98"
"BZN|DK2","13.07.2021 18:00 - 13.07.2021 19:00 (CET)","8","n/e","n/e","52","85","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","109","43","270","97"
"BZN|DK2","13.07.2021 19:00 - 13.07.2021 20:00 (CET)","7","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","42","235","74"
"BZN|DK2","13.07.2021 20:00 - 13.07.2021 21:00 (CET)","7","n/e","n/e","38","62","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","41","187","57"
"BZN|DK2","13.07.2021 21:00 - 13.07.2021 22:00 (CET)","6","n/e","n/e","34","56","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","40","149","66"
"BZN|DK2","13.07.2021 22:00 - 13.07.2021 23:00 (CET)","6","n/e","n/e","38","61","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","155","75"
"BZN|DK2","13.07.2021 23:00 - 14.07.2021 00:00 (CET)","7","n/e","n/e","42","69","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","143","70"
"BZN|DK2","14.07.2021 00:00 - 14.07.2021 01:00 (CET)","7","n/e","n/e","50","81","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","30","155","69"
"BZN|DK2","14.07.2021 01:00 - 14.07.2021 02:00 (CET)","7","n/e","n/e","49","81","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","32","169","72"
"BZN|DK2","14.07.2021 02:00 - 14.07.2021 03:00 (CET)","7","n/e","n/e","51","83","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","194","69"
"BZN|DK2","14.07.2021 03:00 - 14.07.2021 04:00 (CET)","6","n/e","n/e","52","85","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","210","84"
"BZN|DK2","14.07.2021 04:00 - 14.07.2021 05:00 (CET)","5","n/e","n/e","54","87","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","234","93"
"BZN|DK2","14.07.2021 05:00 - 14.07.2021 06:00 (CET)","6","n/e","n/e","69","112","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","48","284","89"
"BZN|DK2","14.07.2021 06:00 - 14.07.2021 07:00 (CET)","8","n/e","n/e","96","156","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","51","335","79"
"BZN|DK2","14.07.2021 07:00 - 14.07.2021 08:00 (CET)","9","n/e","n/e","90","146","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","61","51","340","61"
