"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","16.04.2021 00:00 - 16.04.2021 01:00 (CET)","524","n/e","n/e","72","114","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","48","117"
"BZN|DK2","16.04.2021 01:00 - 16.04.2021 02:00 (CET)","582","n/e","n/e","89","141","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","101","104"
"BZN|DK2","16.04.2021 02:00 - 16.04.2021 03:00 (CET)","580","n/e","n/e","93","147","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","106","96"
"BZN|DK2","16.04.2021 03:00 - 16.04.2021 04:00 (CET)","577","n/e","n/e","102","162","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","86","138","83"
"BZN|DK2","16.04.2021 04:00 - 16.04.2021 05:00 (CET)","696","n/e","n/e","109","173","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","86","179","76"
"BZN|DK2","16.04.2021 05:00 - 16.04.2021 06:00 (CET)","571","n/e","n/e","115","183","43","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","87","241","110"
"BZN|DK2","16.04.2021 06:00 - 16.04.2021 07:00 (CET)","525","n/e","n/e","119","190","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","87","250","120"
"BZN|DK2","16.04.2021 07:00 - 16.04.2021 08:00 (CET)","529","n/e","n/e","130","207","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","88","291","116"
"BZN|DK2","16.04.2021 08:00 - 16.04.2021 09:00 (CET)","572","n/e","n/e","149","207","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","99","88","324","104"
"BZN|DK2","16.04.2021 09:00 - 16.04.2021 10:00 (CET)","555","n/e","n/e","129","208","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","175","86","282","119"
